@relation LinuxForum-weka.filters.unsupervised.attribute.Remove-R1

@attribute Feature1 numeric
@attribute Feature2 numeric
@attribute Feature3 numeric
@attribute Feature4 numeric
@attribute Feature5 numeric
@attribute Feature6 numeric
@attribute Feature7 numeric
@attribute Feature8 numeric
@attribute Feature9 numeric
@attribute Feature10 numeric
@attribute Feature11 numeric
@attribute Feature12 numeric
@attribute Feature13 numeric
@attribute Feature14 numeric
@attribute Feature15 numeric
@attribute Feature16 numeric
@attribute Feature17 numeric
@attribute Feature18 numeric
@attribute Feature19 numeric
@attribute Feature20 numeric
@attribute Feature21 numeric
@attribute Feature22 numeric
@attribute Feature23 numeric
@attribute Feature24 numeric
@attribute Feature25 numeric
@attribute Feature26 numeric
@attribute Feature27 numeric
@attribute Feature28 numeric
@attribute Feature29 numeric
@attribute Feature30 numeric
@attribute Feature31 numeric
@attribute Feature32 numeric
@attribute Feature33 numeric
@attribute Feature34 numeric
@attribute Feature35 numeric
@attribute Feature36 numeric
@attribute Feature37 numeric
@attribute Feature38 numeric
@attribute Feature39 numeric
@attribute Feature40 numeric
@attribute Feature41 numeric
@attribute Feature42 numeric
@attribute Feature43 numeric
@attribute Feature44 numeric
@attribute Feature45 numeric
@attribute Feature46 numeric
@attribute Feature47 numeric
@attribute Feature48 numeric
@attribute Feature49 numeric
@attribute Feature50 numeric
@attribute Feature51 numeric
@attribute Feature52 numeric
@attribute Feature53 numeric
@attribute Feature54 numeric
@attribute Feature55 numeric
@attribute Feature56 numeric
@attribute Feature57 numeric
@attribute Feature58 numeric
@attribute Feature59 numeric
@attribute Feature60 numeric
@attribute Feature61 numeric
@attribute Feature62 numeric
@attribute Feature63 numeric
@attribute Feature64 numeric
@attribute Feature65 numeric
@attribute Feature66 numeric
@attribute Feature67 numeric
@attribute Feature68 numeric
@attribute Feature69 numeric
@attribute Feature70 numeric
@attribute Feature71 numeric
@attribute Feature72 numeric
@attribute class {Install-OS,Install-Software,Search-Data,Search-Documentation,Search-Hardware,Search-OS,Search-Software,Spam,Support-Document.,Support-Hardware,Support-Media,Support-OS,Support-Programming,Support-Software}

@data
1,1,3,3,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0.327922,0.087662,0.181818,0.402597,0.363636,0.068182,0.181818,0.386364,0.0625,0,0.25,0.058824,0.0625,0,0,0,0.3125,1,0.375,0.235294,0.5625,0,0.375,0.705882,0.75,0.333333,0.2,0.611111,6.3125,9,7,7.294118,4.50495,4.777778,4.625,4.467742,0.875,0,0.5,0.176471,0.125,0.25,0.5,0.375,0.125,0.25,0.875,1,Install-Software
1,1,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.03304,0.132159,0.46696,0.367841,0.018182,0.109091,0.545455,0.327273,1,0,0.033333,0.388889,0,0,0.033333,0,0,0.833333,0.366667,0.611111,0,0.166667,0.566667,0,0,0.4,0.585813,0.333333,15,10,7.066667,9.277778,3.933333,4.116667,4.674528,3.838323,1,0,0.5,0.277778,0.090909,0.181818,0.272727,0.454545,0.090909,0.181818,1,0.818182,Install-OS
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666667,0.333333,0,0,0.789474,0.210526,0,0,0.133333,0,0,0,0,0,0,0,0.333333,0.5,0,0,0.533333,0.5,0,0,0.8,0.8,0,0,3.066667,5.75,0,0,6.304348,6.043478,0,0,0.933333,0,0,0,0.5,1,0,0,0.5,1,0,0,Install-Software
1,1,2,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0.170807,0.220497,0.285714,0.322981,0.151515,0.151515,0.272727,0.424242,0.2,0,0,0.071429,0,0,0,0.214286,0.6,0.6,0.444444,0.5,0.2,0.4,0.555556,0.214286,0.714286,0.571429,0.4,0.644444,11,14.2,10.222222,7.428571,3.672727,4.140845,4.402174,3.480769,0.6,0,0,0.571429,0.166667,0.333333,0.5,0.666667,0.166667,0.333333,0.833333,1,Support-Media
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.441176,0.323529,0,0.235294,0.4,0.2,0,0.4,0.25,0,0,0,0,0,0,0,0.5,1,0,0.5,0.25,0,0,0.5,0.333333,0.333333,0,0.5,15,22,0,8,4.083333,4.75,0,4.1875,0.75,0,0,0,0.333333,0.666667,0,1,0.333333,0.666667,0,1,Support-Software
1,1,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0.253061,0.085714,0.195918,0.465306,0.125,0.015625,0.25,0.609375,0,0,0.0625,0.025641,0,0,0,0,0.375,1,0.125,0.230769,0.625,0,0.8125,0.74359,0.555556,0,0.847321,0.635294,7.75,21,3,2.923077,3.66129,4,5.333333,7.105263,0,0,0.3125,0.102564,0.1,0.2,0.4,0.3,0.1,0.2,1,0.9,Support-Programming
1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0.408284,0.201183,0.224852,0.16568,0.333333,0.142857,0.285714,0.238095,0.142857,0,0,0.2,0,0,0,0,0.714286,1,0.833333,0.4,0.142857,0,0.166667,0.4,0.555556,0,0,0.333333,9.857143,11.333333,6.333333,5.6,4.492754,4.205882,4.447368,4.035714,0.142857,0,0,0.2,0.166667,0.333333,0.5,0.666667,0.166667,0.333333,0.833333,1,Support-Software
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.279817,0.146789,0.522936,0.050459,0.193548,0.096774,0.612903,0.096774,0,0,0,0,0,0,0,0,0.5,0.666667,0.421053,0.666667,0.5,0.333333,0.578947,0.333333,0.6,0,0.741935,0,10.166667,10.666667,6,3.666667,4.409836,3.6875,5.035088,4.363636,0,0,0,0,0.25,0.5,1,0.75,0.25,0.5,1,0.75,Support-OS
1,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.313253,0.090361,0.551205,0.045181,0.296296,0.111111,0.518519,0.074074,0,0,0.071429,0,0,0,0,0.5,0.5,1,0.785714,0.5,0.5,0,0.142857,0,0.666667,0,0.04,0,13,10,13.071429,7.5,4.451923,4.333333,4.076503,4.266667,0,0,0.357143,0,0.125,0.25,0.5,0.375,0.125,0.25,1,0.375,Support-Hardware
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.629213,0.370787,0,0,0.75,0.25,0,0,0,0,0,0,0,0,0,0,0.333333,1,0,0,0.666667,0,0,0,0.916667,0,0,0,6.222222,11,0,0,5.875,3.818182,0,0,0,0,0,0,0.5,1,0,0,0.5,1,0,0,Support-OS
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.672662,0.327338,0,0,0.787879,0.212121,0,0,0.038462,0,0,0,0.038462,0,0,0,0.346154,1,0,0,0.576923,0,0,0,0.375,0.4,0,0,7.192308,13,0,0,4.40107,4.43956,0,0,0.846154,0,0,0,0.5,1,0,0,0.5,1,0,0,Support-Programming
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.597561,0.304878,0,0.097561,0.461538,0.461538,0,0.076923,0.166667,0,0,0,0,0,0,0,0.833333,0.333333,0,0,0,0.666667,0,1,0,0.777778,0,0,8.166667,4.166667,0,8,4.428571,5.16,0,5.125,0.666667,0,0,0,0.333333,0.666667,0,1,0.333333,0.666667,0,1,Support-Programming
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41844,0.212766,0,0.368794,0.285714,0.142857,0,0.571429,0.25,1,0,0.375,0,0,0,0,0.5,0,0,0.375,0.25,0,0,0.25,0.666667,0.333333,0,0.823529,14.75,15,0,6.5,4.118644,3.866667,0,3.961538,1,0.5,0,0.375,0.333333,0.666667,0,1,0.333333,0.666667,0,1,Support-Software
1,1,3,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1,0.025271,0.075812,0.561372,0.337545,0.073171,0.121951,0.512195,0.292683,0.333333,0.2,0.142857,0.083333,0,0,0,0,0,0.8,0.619048,0.583333,0.666667,0,0.238095,0.333333,0.6,0.4,0.675,0.745098,4.666667,8.4,14.809524,15.583333,5.428571,4.642857,4.315113,4.192513,0.333333,0.2,0.190476,0.25,0.142857,0.285714,0.571429,0.428571,0.142857,0.285714,0.857143,1,Search-Software
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.716981,0.283019,0,0,0.857143,0.142857,0,0,0.333333,0,0,0,0,0,0,0,0.166667,0,0,0,0.5,1,0,0,0.909091,0,0,0,6.333333,15,0,0,4.526316,5,0,0,0.166667,0,0,0,0.5,1,0,0,0.5,1,0,0,Search-Documentation
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.661765,0.279412,0,0.058824,0.428571,0.333333,0,0.238095,0.222222,0.142857,0,0.2,0,0,0,0,0.777778,0.142857,0,0.8,0,0.714286,0,0,0,0.714286,0,0.5,10,5.428571,0,1.6,4.366667,4.921053,0,4.375,0.555556,0.142857,0,1,0.333333,0.666667,0,1,0.333333,0.666667,0,1,Install-Software
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.038462,0,0,0,0,0,0,0,0.538462,0,0,0,0.423077,0,0,0,0.333333,0,0,0,8.423077,0,0,0,4.579909,0,0,0,0.230769,0,0,0,0.5,0,0,0,1,0,0,0,Install-Software
1,1,3,2,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0.347023,0.086242,0.287474,0.279261,0.264706,0.088235,0.441176,0.205882,0,0.333333,0,0,0,0,0.066667,0,0.888889,0.666667,0.666667,0.714286,0.111111,0,0.266667,0.285714,0.333333,0,0.455556,0,18.777778,14,9.333333,19.428571,4.792899,4.047619,4.821429,4.044118,0,0.666667,0,0,0.142857,0.285714,0.428571,0.714286,0.142857,0.285714,1,0.857143,Search-Software
1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.729167,0.270833,0,0,0.666667,0.333333,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,17.5,13,0,0,3.714286,4.538462,0,0,0,0,0,0,0.5,1,0,0,0.5,1,0,0,Install-OS
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.635659,0.147287,0.217054,0,0.6,0.3,0.1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0.6,0,0,0,13.666667,6.333333,28,0,4.085366,5.157895,4.178571,0,0,0,0,0,0.333333,0.666667,1,0,0.333333,0.666667,1,0,Search-Software
2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0.507772,0.279793,0,0.212435,0.529412,0.235294,0,0.235294,0.444444,0,0,0,0,0,0,0.25,0.111111,0.75,0,0.25,0.444444,0.25,0,0.5,0.6,0.5,0,0.5,10.888889,13.5,0,10.25,4.173469,5,0,4.170732,0.111111,0,0,0,0.25,0.75,0,1,0.5,0.75,0,1,Search-Software
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.398058,0.058252,0.398058,0.145631,0.5625,0.0625,0.1875,0.1875,0.111111,0,0,0,0,0,0,0,0.444444,0,0.666667,0.666667,0.444444,1,0.333333,0.333333,0.909091,0,0.333333,0.666667,4.555556,6,13.666667,5,4.414634,7.333333,3.902439,4.4,1,0,0,0,0.25,0.5,1,0.75,0.25,0.5,1,0.75,Install-Software
2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.780952,0.061905,0.02381,0.133333,0.6875,0.0625,0.0625,0.1875,0.090909,1,1,0,0,0,0,0,0.909091,0,0,1,0,0,0,0,0.166667,0,0,0,14.909091,13,5,9.333333,4.347561,4.307692,5.4,4.071429,1,1,1,0,0.2,0.6,0.8,1,0.4,0.6,0.8,1,Install-Software
1,1,2,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0.21,0.245,0.545,0,0.15,0.25,0.6,0,0.666667,0,0,0,0,0,0,0,0.333333,0.2,0.5,0,0,0.8,0.5,0,1,0.571429,0.166667,0,14,9.8,9.083333,0,4.238095,4.612245,4.394495,0,0.666667,0,0,0,0.25,0.5,0.75,0,0.25,0.5,1,0,Install-OS
1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0.130081,0.00813,0.495935,0.365854,0.076923,0.076923,0.538462,0.307692,1,0,0,0.25,0,0,0,0,0,0,0.714286,0.75,0,1,0.285714,0,0,1,0,0,16,1,8.714286,11.25,5,9,5.311475,4.266667,1,0,0,0.75,0.166667,0.333333,0.5,0.833333,0.166667,0.333333,1,0.833333,Search-Software
1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0.154799,0.04644,0.47678,0.321981,0.131579,0.078947,0.5,0.289474,0.4,0,0.210526,0.272727,0,0,0,0,0.2,0,0.368421,0.272727,0.4,1,0.421053,0.454545,0.5,0.5,0.892045,0.666667,10,5,8.105263,9.454545,3.64,4.133333,4.194805,3.759615,0.4,0,0.210526,0.545455,0.2,0.4,0.6,0.8,0.2,0.4,1,0.8,Support-OS
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.393258,0.606742,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0.4,0.8,0,0,0.6,0.2,0,0,0.6,0,0,0,7,10.8,0,0,4.371429,4.722222,0,0,0,0,0,0,0.5,1,0,0,0.5,1,0,0,Support-Software
1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.336898,0.663102,0,0,0.292683,0.707317,0,0,0.083333,0,0,0,0,0,0,0,0.333333,0.068966,0,0,0.583333,0.931034,0,0,0.8,0.777778,0,0,5.25,4.275862,0,0,5.68254,5.91129,0,0,0.916667,0,0,0,0.5,1,0,0,0.5,1,0,0,Support-Software
1,1,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.03762,0.093707,0.632011,0.236662,0.046875,0.039062,0.609375,0.304688,0,0,0.038462,0.025641,0,0,0,0,0.666667,0.8,0.628205,0.538462,0.333333,0.2,0.333333,0.435897,0.727273,0.5,0.423435,0.590186,9.166667,27.4,11.846154,8.871795,3.709091,4,4.224026,4.306358,0,0,0.192308,0.641026,0.083333,0.166667,0.333333,0.25,0.083333,0.166667,1,0.916667,Support-Programming
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0.166667,0,0,0,0,0,0,0,0.5,0,0,0,0.333333,0,0,0,0.272727,0,0,0,19.166667,0,0,0,4.465217,0,0,0,0.583333,0,0,0,0.5,0,0,0,1,0,0,0,Install-Software
2,1,7,2,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,1,1,1,0.733085,0.014917,0.197123,0.054875,0.849206,0.005952,0.115079,0.029762,0.004673,0.333333,0.017241,0,0.004673,0,0.034483,0.066667,0.46028,0.333333,0.327586,0.266667,0.530374,0.333333,0.62069,0.666667,0.630508,0.666667,0.482143,0.931818,3.214953,9.333333,6.37931,6.866667,5.507994,3.75,4.367568,4.330097,0.997664,0.333333,0.810345,0,0.083333,0.25,0.416667,0.333333,0.166667,0.25,1,0.583333,Install-Software
1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0.69,0.31,0,0,0.689655,0.310345,0,0,0.05,0.055556,0,0,0,0,0,0,0.475,0.944444,0,0,0.475,0,0,0,0.744186,0.444444,0,0,12.075,12.055556,0,0,4.165631,4.410138,0,0,0.15,0.833333,0,0,0.5,1,0,0,0.5,1,0,0,Support-OS
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.891473,0.108527,0,0,0.6,0.4,0,0,0,0,0,0,0,0,0,0,0.666667,1,0,0,0.333333,0,0,0,0.4,0,0,0,38.333333,7,0,0,3.86087,4.071429,0,0,0,0,0,0,0.5,1,0,0,0.5,1,0,0,Support-Programming
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.25,0,0,0,0.041667,0,0,0,0.708333,0,0,0,0,0,0,0,0.133333,0,0,0,10.166667,0,0,0,3.930328,0,0,0,0.208333,0,0,0,0.2,0,0,0,1,0,0,0,Support-Media
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0.779698,0.049676,0.170626,0,0.82069,0.027586,0.151724,0,0.008403,0.25,0.090909,0,0,0,0,0,0.008403,0.75,0.590909,0,0.983193,0,0.318182,0,0.983607,0.333333,0.714286,0,6.067227,11.5,7.181818,0,7.743767,4.869565,4.468354,0,0.991597,1,0.909091,0,0.333333,0.666667,1,0,0.333333,0.666667,1,0,Install-Software
1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0.169492,0.237288,0,0.59322,0.066667,0.333333,0,0.6,0,0.2,0,0,0,0,0,0,1,0.6,0,0.777778,0,0.2,0,0.222222,0,0.333333,0,0.318182,20,5.6,0,7.777778,3.95,5.25,0,4.414286,0,0.8,0,0,0.25,0.5,0,0.75,0.25,0.5,0,1,Support-Software
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.401408,0.15493,0,0.443662,0.333333,0.222222,0,0.444444,0,0,0,0,0,0,0,0,0.666667,1,0,0.75,0.333333,0,0,0.25,0.25,0,0,0.666667,19,11,0,15.75,4,3.909091,0,4.349206,0,0,0,0,0.333333,0.666667,0,1,0.333333,0.666667,0,1,Support-Software
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.047619,0,0,0,0,0,0,0,0.666667,0,0,0,0.285714,0,0,0,0.547619,0,0,0,11.095238,0,0,0,3.935622,0,0,0,0.190476,0,0,0,0.5,0,0,0,1,0,0,0,Support-Software
1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.692683,0.102439,0.2,0.004878,0.730769,0.192308,0.038462,0.038462,0.052632,0.2,0,0,0,0,0,1,0.368421,0.2,1,0,0.578947,0.6,0,0,0.5,0.75,0,1,7.473684,4.2,41,1,5.183099,4.190476,5.04878,6,1,0.2,0,0,0.25,0.5,0.75,1,0.25,0.5,0.75,1,Support-OS
1,1,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0.306034,0.012931,0.547414,0.133621,0.225806,0.064516,0.483871,0.225806,0.142857,0,0.066667,0,0,0,0.066667,0,0.857143,0,0.733333,0.571429,0,1,0.133333,0.428571,0.444444,0.5,0.358333,0.333333,20.285714,3,16.933333,8.857143,4.65493,6.5,4.30315,4.532258,1,0,0.6,0,0.142857,0.285714,0.571429,0.428571,0.142857,0.285714,1,0.428571,Search-Software
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.729642,0.270358,0,0,0.962025,0.037975,0,0,0.039474,0,0,0,0.026316,0,0,0,0.118421,1,0,0,0.815789,0,0,0,0.962025,0.333333,0,0,2.947368,27.666667,0,0,7.415179,4.349398,0,0,0.078947,0,0,0,0.5,1,0,0,0.5,1,0,0,Support-Programming
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.671196,0.252717,0.076087,0,0.586207,0.344828,0.068966,0,0.058824,0,0,0,0.117647,0,0,0,0.764706,0.9,1,0,0.058824,0.1,0,0,0.571429,0.666667,0.666667,0,14.529412,9.3,14,0,4.161943,4.462366,5,0,0.941176,0,0,0,0.333333,0.666667,1,0,0.333333,0.666667,1,0,Search-Software
